2020-1-15, Kanagawa, 1
2020-1-24, Tokyo, 1
2020-1-25, Tokyo, 1
2020-1-26, Bus, 1
2020-1-28, Hokkaido, 1
2020-1-28, Aichi, 1
2020-1-28, Nara, 1
2020-1-29, Osaka, 1
2020-1-30, Aircraft, 3
2020-1-30, Mie, 1
2020-1-30, Kyoto, 1
2020-1-30, Tokyo, 1
2020-1-31, Chiba, 1
2020-1-31, Aircraft, 1
2020-2-1, Aircraft, 2
2020-2-1, Tokyo, 1
2020-2-4, Chiba, 2
2020-2-4, Bus, 1
2020-2-5, Chiba, 1
2020-2-5, Kyoto, 1
2020-2-7, Aircraft, 1
2020-2-11, Aircraft, 2
2020-2-13, Tokyo, 1
2020-2-13, Wakayama, 1
2020-2-13, Chiba, 1
2020-2-13, Kanagawa, 1
2020-2-14, Wakayama, 1
2020-2-14, Okinawa, 1
2020-2-14, Tokyo, 2
2020-2-14, Aichi, 1
2020-2-14, Hokkaido, 1
2020-2-14, Kanagawa, 1
2020-2-15, Wakayama, 3
2020-2-15, Tokyo, 8
2020-2-15, Aichi, 1
2020-2-16, Tokyo, 5
2020-2-16, Aichi, 1
2020-2-17, Kanagawa, 1
2020-2-17, Wakayama, 4
2020-2-17, Aichi, 1
2020-2-18, Wakayama, 3
2020-2-18, Tokyo, 3
2020-2-18, Aichi, 1
2020-2-18, Kanagawa, 1
2020-2-19, Kanagawa, 2
2020-2-19, Hokkaido, 2
2020-2-19, Tokyo, 3
2020-2-19, Okinawa, 1
2020-2-19, Aircraft, 1
2020-2-20, Fukuoka, 2
2020-2-20, Hokkaido, 1
2020-2-20, Chiba, 1
2020-2-20, Kanagawa, 2
2020-2-20, Okinawa, 1
2020-2-20, Aichi, 1
2020-2-21, Hokkaido, 3
2020-2-21, Ishikawa, 1
2020-2-21, Saitama, 1
